Team Initials,Coach Name,Player Name
POR,PAULO BENTO (POR),BETO
POR,PAULO BENTO (POR),EDUARDO
BEL,WILMOTS Marc (BEL),VERTONGHEN
NGA,KESHI Stephen (NGA),YOBO
ALG,HALILHODZIC Vahid (BIH),HALLICHE
BRA,SCOLARI Luiz Felipe (BRA),JULIO CESAR
COL,PEKERMAN Jose (ARG),YEPES
NED,Louis VAN GAAL (NED),CILLESSEN
NED,Louis VAN GAAL (NED),VORM
NED,Louis VAN GAAL (NED),KRUL
CRC,PINTO Jorge Luis (COL),NAVAS K.
BEL,WILMOTS Marc (BEL),KOMPANY
